,learning_rate,hidden_nodes,error
1,0.01,3.0,2.886471973741633e-06
2,0.1,3.0,2.6890359197822278e-08
3,0.25,3.0,2.7415464642864014e-09
4,0.5,3.0,1.557795372253292e-10
5,0.7,3.0,2.5346576981114617e-11
6,1.0,3.0,9.38735480683988e-12
7,5.0,3.0,1.889245281635431e-54
8,0.01,5.0,1.0113578624512072e-06
9,0.1,5.0,9.384677886253574e-09
10,0.25,5.0,5.316422273652818e-10
11,0.5,5.0,2.844218809369541e-12
12,0.7,5.0,3.1681793189419577e-12
13,1.0,5.0,2.2836314543714824e-12
14,5.0,5.0,3.944304526105059e-32
15,0.01,3.0,2.8665539712847816e-06
16,0.1,3.0,2.8439848256433332e-08
17,0.25,3.0,4.081675117419998e-09
18,0.5,3.0,9.27084900143837e-11
19,0.7,3.0,4.564494254865098e-11
20,1.0,3.0,3.3054279673760447e-12
21,5.0,3.0,4.0090578209617225e-22
22,0.01,5.0,1.010668188863532e-06
23,0.1,5.0,8.524637686764954e-09
24,0.25,5.0,2.756639435967001e-10
25,0.5,5.0,6.623946947292635e-15
26,0.7,5.0,1.951044892009791e-16
27,1.0,5.0,1.0187608368124506e-12
28,5.0,5.0,1.6409292904728627e-28
29,0.01,3.0,2.858349815671258e-06
30,0.1,3.0,2.828310336499348e-08
31,0.25,3.0,2.873082450424098e-09
32,0.5,3.0,1.016402481824644e-10
33,0.7,3.0,3.669145105438083e-11
34,1.0,3.0,1.783504287757555e-12
35,5.0,3.0,2.147311089187318e-43
36,0.01,5.0,9.955309536034858e-07
37,0.1,5.0,9.782589395340303e-09
38,0.25,5.0,2.5317436107957105e-10
39,0.5,5.0,2.3410943858442367e-11
40,0.7,5.0,4.523636218164457e-12
41,1.0,5.0,7.315197887610203e-17
42,5.0,5.0,1.0898611149356811e-11
43,0.01,3.0,2.8597650139183063e-06
44,0.1,3.0,2.8463917319640124e-08
45,0.25,3.0,4.43702925886103e-09
46,0.5,3.0,1.497256127778106e-10
47,0.7,3.0,3.39516642973122e-11
48,1.0,3.0,9.802666450855296e-12
49,5.0,3.0,8.553884060721403e-12
50,0.01,5.0,1.5989975441682786e-06
51,0.1,5.0,7.777644684731466e-09
52,0.25,5.0,1.1299854415552706e-10
53,0.5,5.0,5.2429717849021487e-14
54,0.7,5.0,3.698574367539014e-12
55,1.0,5.0,2.024664718884252e-12
56,5.0,5.0,5.69196281597661e-37
57,0.01,3.0,2.8756665492348805e-06
58,0.1,3.0,2.846349994156929e-08
59,0.25,3.0,4.484520887571975e-09
60,0.5,3.0,1.5530573469276266e-10
61,0.7,3.0,1.01370275474713e-11
62,1.0,3.0,2.5099965228986768e-18
63,5.0,3.0,1.431397993746016e-23
64,0.01,5.0,9.893684094298062e-07
65,0.1,5.0,9.463980887240825e-09
66,0.25,5.0,4.707845419481937e-10
67,0.5,5.0,8.938883124809515e-12
68,0.7,5.0,2.1652342932348897e-12
69,1.0,5.0,1.035522409862614e-12
70,5.0,5.0,4.5176611951614275e-24
71,0.01,3.0,2.84208235171246e-06
72,0.1,3.0,2.700184006805484e-08
73,0.25,3.0,3.996596209131351e-09
74,0.5,3.0,1.3258024673450807e-10
75,0.7,3.0,1.1518734845638397e-11
76,1.0,3.0,3.075449508564542e-12
77,5.0,3.0,1.137944111335838e-42
78,0.01,5.0,1.0094221809076422e-06
79,0.1,5.0,1.0090660663594663e-08
80,0.25,5.0,4.124901292133892e-11
81,0.5,5.0,9.11656931315525e-15
82,0.7,5.0,5.718226531710572e-12
83,1.0,5.0,2.055751950747863e-12
84,5.0,5.0,2.571071918096743e-45
85,0.01,3.0,2.8700336654941803e-06
86,0.1,3.0,2.8152370476746957e-08
87,0.25,3.0,3.2718548007536847e-09
88,0.5,3.0,2.711941044399091e-10
89,0.7,3.0,2.5839118796703404e-11
90,1.0,3.0,4.090658394916742e-12
91,5.0,3.0,1.7200762731098344e-19
92,0.01,5.0,1.007068503023459e-06
93,0.1,5.0,7.59380264758436e-09
94,0.25,5.0,3.200225526501045e-10
95,0.5,5.0,6.4737653083001955e-12
96,0.7,5.0,2.3488133422586414e-14
97,1.0,5.0,2.9815662126789546e-13
98,5.0,5.0,1.300165848913204e-31
99,0.01,3.0,2.8652464818315874e-06
100,0.1,3.0,2.8439199138557198e-08
101,0.25,3.0,1.8343799820302095e-09
102,0.5,3.0,1.2633030355429998e-10
103,0.7,3.0,3.4841777393795975e-11
104,1.0,3.0,3.4571425869861955e-12
105,5.0,3.0,1.1151013259625003e-26
106,0.01,5.0,1.5882042949511854e-06
107,0.1,5.0,8.562624776057449e-09
108,0.25,5.0,3.522749310023867e-10
109,0.5,5.0,1.3335450404622328e-12
110,0.7,5.0,8.84178448026516e-14
111,1.0,5.0,8.3115590653063165e-22
112,5.0,5.0,2.8668448839059013e-30
113,0.01,3.0,2.8887121432306747e-06
114,0.1,3.0,2.8404321226401396e-08
115,0.25,3.0,1.4018460388125777e-09
116,0.5,3.0,7.448143075695146e-11
117,0.7,3.0,6.643862028857607e-11
118,1.0,3.0,6.125125817838089e-18
119,5.0,3.0,6.0816106888079e-27
120,0.01,5.0,9.965762248208768e-07
121,0.1,5.0,8.802741078601259e-09
122,0.25,5.0,7.507667562848161e-10
123,0.5,5.0,1.8194324214871414e-11
124,0.7,5.0,1.6825437157419793e-12
125,1.0,5.0,1.0547665683111683e-15
126,5.0,5.0,2.526823565889546e-36
